"year","category","name","team","games","desc.","source"
2009,"Personal conduct","D. Stallworth","NE",16,"DUI manslaughter","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
2009,"Personal conduct","M. Boley","NYG",1,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=4311313"
2009,"In-game violence",NA,NA,0,NA,NA
2010,"PEDs","B. Cushing","HOU",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5172060"
2010,"PEDs","S. Gregory","NYJ",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5648428"
2010,"PEDs","R. James","ATL",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5364259"
2010,"PEDs","E. Gant","CIN",4,NA,"http://blog.azcardinals.com/2010/06/21/gant-suspended-four-games/"
2010,"PEDs","G. McRath","TEN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5285379"
2010,"PEDs","B. Spikes","NE",4,NA,"http://sports.espn.go.com/boston/nfl/news/story?id=5906897"
2010,"PEDs","A. Odom","CIN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5687593"
2010,"Substance abuse","D. Robinson","CAR",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5906973"
2010,"Substance abuse","L. White","FREE",4,NA,"http://www.nfl.com/news/story/09000d5d818ee863/article/nfl-reveals-fourgame-ban-for-white-eightgamer-for-thomas"
2010,"Substance abuse","S. Holmes","NYJ",4,NA,"http://sports.espn.go.com/new-york/nfl/news/story?id=5077088"
2010,"Substance abuse","S. Nelson","BUF",4,NA,"http://www.buffalobills.com/news/article-3/TE-Nelson-suspended-for-first-four-games/b4507a26-f7ac-4bf9-9cf7-c47b2f079781"
2010,"Personal conduct","C. Williams","BAL",2,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=5401102"
2010,"Personal conduct","J. Babineaux","ATL",1,"Accused of battery and resisting arrest","http://usatoday30.usatoday.com/sports/football/nfl/falcons/2010-08-03-jonathan-babineaux_N.htm"
2010,"Personal conduct","M. Purify","CIN",1,"Disorderly conduct","http://espn.go.com/blog/afcnorth/post/_/id/16670/bengals-wr-purify-suspended-one-game"
2010,"Personal conduct","T. McDaniel","TB",1,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=5622330"
2010,"Personal conduct","V. Jackson","SD",3,"DUI arrest","http://sports.espn.go.com/nfl/news/story?id=5345629"
2010,"Personal conduct","Q. Ojinnaka","ATL",1,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=5249193"
2010,"In-game violence",NA,NA,0,NA,NA
2011,"PEDs","A. Hall","TEN",4,NA,"http://espn.go.com/nfl/story/_/id/6927311/tennessee-titans-ahmard-hall-suspended-4-games-nfl"
2011,"PEDs","P. Williams","MIN",2,NA,"http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games"
2011,"PEDs","J. Kennedy","NYG",4,NA,"http://espn.go.com/new-york/nfl/story/_/id/7089792/new-york-giants-dt-jimmy-kennedy-suspended-nfl"
2011,"PEDs","J. Moffitt","CLE",4,NA,"http://seattletimes.com/html/seahawksblog/2016949836_seahawksrookiejohnmoffittsuspendedforperformanceenhancingdrugs.html"
2011,"PEDs","T. Lewis","WAS",4,NA,"http://www.washingtonpost.com/blogs/football-insider/post/report-redskins-trent-williams-and-fred-davis-to-be-suspended-for-four-games/2011/12/04/gIQAZJ6tSO_blog.html"
2011,"PEDs","K. Williams","MIN",2,NA,"http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games"
2011,"PEDs","J. Thomas","IND",4,NA,"http://espn.go.com/nfl/story/_/id/7062953/indianapolis-colts-guard-jaime-thomas-banned-4-games-violating-steroid-policy"
2011,"Substance abuse","D. Reed","BAL",1,"Marijuana-related","http://www.nfl.com/news/story/09000d5d821eb87b/article/ravens-david-reed-suspended-for-substanceabuse-violation"
2011,"Substance abuse","F. Davis","WAS",4,"Marijuana-related","http://www.cbssports.com/nfl/eye-on-football/24448694/redskins-te-fred-davis-suspended-Indefiniteinitely-by-nfl"
2011,"Personal conduct","B. Underwood","GB",2,"Domestic violence","http://www.nationalfootballpost.com/Report-NFL-suspends-Brandon-Underwood-for-2-games.html"
2011,"Personal conduct","T. Pryor","OAK",5,"Improper gifts while in college","http://espn.go.com/nfl/story/_/id/7040047/nfl-upholds-terrelle-pryor-5-game-ban-cites-integrity"
2011,"In-game violence","J. Harrison","PIT",1,"Helmet-to-helmet hit","http://espn.go.com/nfl/story/_/id/7348112/pittsburgh-steelers-james-harrison-banned-1-game-hit-cleveland-browns-colt-mccoy"
2011,"In-game violence","N. Suh","DET",2,"Stomping on player","http://espn.go.com/nfl/story/_/id/7293935/ndamukong-suh-detroit-lions-suspended-two-games-pay"
2012,"PEDs","J. Cunningham","NE",4,NA,"http://espn.go.com/boston/nfl/story/_/id/8679955/jermaine-cunningham-new-england-patriots-suspended-four-games-violating-nfl-policy-performance-enhancing-substances"
2012,"PEDs","A. Barbre","CAR",4,NA,"http://seattletimes.com/html/localnews/2018272778_apfbnseahawksbarbresuspended.html"
2012,"PEDs","R. McBean","DEN",6,"Alleged ""non-human"" urine in system","http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended"
2012,"PEDs","A. Jackson","BAL",4,NA,"http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy"
2012,"PEDs","J. Haden","CLE",4,NA,"http://www.nfl.com/news/story/0ap1000000060490/article/joe-haden-of-cleveland-browns-suspended-four-games"
2012,"PEDs","T. Sash","NYG",4,NA,"http://espn.go.com/new-york/nfl/story/_/id/8219721/tyler-sash-new-york-giants-suspended-four-games"
2012,"PEDs","B. Eldridge","STL",4,NA,"http://www.nfl.com/news/story/09000d5d82a4a506/article/brody-eldridge-st-louis-rams-te-suspended-four-games"
2012,"PEDs","D. Moch","CIN",4,NA,"http://espn.go.com/nfl/story/_/id/8048956/dontay-moch-cincinnati-bengals-suspended-four-games-peds"
2012,"PEDs","G. Robinson","ARI",4,NA,"http://profootballtalk.nbcsports.com/2012/09/22/gerell-robinson-gets-four-game-suspension/"
2012,"PEDs","W. Hill","NYG",4,NA,"http://www.nfl.com/news/story/0ap1000000078540/article/will-hill-suspended-by-nfl-for-violating-ped-policy"
2012,"PEDs","J. Black","WAS",4,NA,"http://www.nfl.com/news/story/0ap1000000113061/article/jordan-black-of-redskins-suspended-four-games-for-peds"
2012,"PEDs","W. Smith","NO",2,NA,"http://www.nfl.com/news/story/09000d5d821ea898/article/nfl-suspends-vikes-williams-saints-smith-in-starcaps-case"
2012,"PEDs","Q. Saulsberry","DEN",4,NA,"http://www.nfl.com/news/story/0ap1000000217875/article/quentin-saulsberry-of-denver-broncos-had-dui-arrest"
2012,"PEDs","B. Bolden","BAL",4,NA,"http://www.nfl.com/news/story/0ap1000000092510/article/brandon-bolden-suspended-for-violating-drug-policy"
2012,"PEDs","D. Brown","HOU",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5600928"
2012,"PEDs","J. Chatman","NYJ",4,NA,"http://www.nfl.com/news/story/09000d5d80a65c4c/article/chatman-suspended-four-games-for-violating-nfls-steroids-policy"
2012,"PEDs","B. Hartmann","WAS",3,NA,"http://profootballtalk.nbcsports.com/2012/05/22/hartmann-explains-his-three-game-suspension/"
2012,"PEDs","D.J. Williams","DEN",6,"Alleged ""non-human"" urine in system","http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended"
2012,"PEDs","V. Green","SD",4,NA,"http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended"
2012,"PEDs","A. Talib","TB",4,NA,"http://www.nfl.com/news/story/0ap1000000079902/article/aqib-talib-of-buccaneers-suspended-four-games-for-adderall-use"
2012,"PEDs","C. Griffin","WAS",4,NA,"http://espn.go.com/nfl/story/_/id/8709862/cedric-griffin-washington-redskins-suspended-four-games"
2012,"PEDs","M. Neal","GB",4,NA,"http://espn.go.com/nfl/story/_/id/7682945/nfl-suspends-mike-neal-green-bay-packers-1st-four-games"
2012,"PEDs","L. Ziemba","CAR",4,NA,"http://blogs.charlotte.com/panthers/2012/10/ziemba-suspended-4-games-for-violating-ped-policy.html"
2012,"PEDs","A. Neblett","CAR",4,NA,"http://www.nfl.com/news/story/09000d5d82aa5c20/article/andre-neblett-suspended-four-games-for-ped-violation"
2012,"PEDs","W. Guy","SEA",4,NA,"http://www.nfl.com/news/story/0ap1000000098505/article/winston-guy-of-seahawks-suspended-for-illegal-substances"
2012,"PEDs","J. Hawley","ATL",4,NA,"http://www.nfl.com/news/story/0ap1000000097773/article/joe-hawley-of-atlanta-falcons-suspended-four-games-by-nfl"
2012,"PEDs","N. Miller","STL",4,NA,"http://profootball.scout.com/story/1159088-nick-miller-suspended-four-games"
2012,"PEDs","E. Wright","TB",4,NA,"http://espn.go.com/nfl/story/_/id/8680228/eric-wright-tampa-bay-buccaneers-suspended-4-games"
2012,"Substance abuse","L. Wilson","NO",1,"Marijuana-related","http://profootballtalk.nbcsports.com/2012/07/06/saints-linebacker-lawrence-wilson-suspended-fined-by-league/"
2012,"Substance abuse","J. Simpson","IND",3,"Marijuana-related","http://espn.go.com/nfl/story/_/id/7849039/free-agent-receiver-jerome-simpson-suspended-three-games-league-source-says"
2012,"Substance abuse","N. Collins","CHI",1,"Marijuana-related","http://www.nfl.com/news/story/09000d5d82aaddb5/article/chicago-bears-dt-nate-collins-suspended-one-game-by-nfl"
2012,"Substance abuse","T. Hali","KC",1,NA,"http://espn.go.com/nfl/trainingcamp12/story/_/id/8284849/kansas-city-chiefs-tamba-hali-suspended-one-game-nfl"
2012,"Substance abuse","D. Washington","ARI",4,NA,"http://www.nfl.com/news/story/0ap2000000354739/article/daryl-washington-suspended-for-at-least-one-year"
2012,"Personal conduct","D.J. Williams","DEN",3,"DUI arrest","http://espn.go.com/nfl/story/_/id/8466699/denver-broncos-linebacker-dj-williams-suspended-3-more-games"
2012,"Personal conduct","A. Berry","CLE",3,"DUI arrest","http://www.nfl.com/news/story/0ap1000000052406/article/aaron-berry-gets-3game-nfl-suspension-for-arrests"
2012,"Personal conduct","D. Washington","KC",3,"DUI, marijuana-related","http://www.nfl.com/news/story/09000d5d82ab54ab/article/kansas-city-chiefs-donald-washington-charged-with-dui"
2012,"Personal conduct","B. Marshall","DEN",1,"Domestic violence","http://www.nfl.com/news/story/09000d5d827969b7/article/report-brandon-marshall-accused-of-hitting-woman-outside-club"
2012,"Personal conduct","J. Bridges","ARI",2,"Arrest, misdemeanour assault for pointing gun at stripper","http://www.newsobserver.com/2012/11/14/2482573/guard-jeremy-bridges-to-get-2nd.html"
2012,"Personal conduct","D. Jarrett","CAR",3,"DUI arrest","http://www.nfl.com/news/story/09000d5d829ad13c/article/dwayne-jarrett-announces-retirement-from-football"
2012,"Personal conduct","B. Roethlisberger","PIT",4,"Sexual assault","http://www.nfl.com/news/story/09000d5d81a3eb23/article/goodell-reduces-roethlisbergers-suspension-to-four-games"
2012,"Personal conduct","M. Leshoure","DET",2,"Arrest, Marijuana-related","http://www.nfl.com/news/story/09000d5d829cc3b8/article/mikel-leshoure-suspended-two-games-by-nfl"
2012,"Personal conduct","F. Evans","MIN",2,"Marijuana-related","http://www.nfl.com/news/story/09000d5d80496e88/article/vikings-evans-gets-twogame-suspension-per-nfl-conduct-policy"
2012,"Personal conduct","K. Britt","TEN",1,"DUI arrest","http://www.nfl.com/news/story/0ap1000000056660/article/kenny-britt-of-titans-suspended-one-game-by-nfl"
2012,"In-game violence","J. Mays","DEN",1,"Helmet-to-helmet hit","http://www.nfl.com/news/story/0ap1000000066219/article/joe-mays-suspended-one-game-for-hit-on-matt-schaub"
2013,"PEDs","B. Irvin","DET",4,NA,"http://espn.go.com/nfl/story/_/id/9287069/bruce-irvin-seattle-seahawks-suspended-four-games"
2013,"PEDs","D. Lutui","TEN",4,NA,"http://www.nfl.com/news/story/0ap1000000150698/article/deuce-lutui-suspended-by-nfl-for-drug-violation"
2013,"PEDs","L. Grant","FREE",4,NA,"http://www.nfl.com/news/story/0ap1000000161912/article/larry-grant-suspended-four-games-for-violating-nfl-drug-policy"
2013,"PEDs","D. Love","MIN",4,NA,"http://www.cbssports.com/nfl/eye-on-football/22974075/vikings-ol-demarcus-love-suspended-for-ped-violation"
2013,"PEDs","L. Reynolds","JAX",4,NA,"http://espn.go.com/nfl/story/_/id/9967595/laroy-reynolds-jacksonville-jaguars-suspended-4-games-positive-test"
2013,"PEDs","J. Dunbar","STL",4,NA,"http://www.nfl.com/news/story/0ap1000000229913/article/st-louis-rams-jolonn-dunbar-suspended-four-games"
2013,"PEDs","J. Jenkins","WAS",4,NA,"http://www.nfl.com/news/story/0ap1000000221583/article/redskins-jarvis-jenkins-suspended-4-games-for-peds"
2013,"PEDs","A. Holmes","OAK",4,NA,"http://www.cbssports.com/nfl/eye-on-football/22915004/raiders-wr-andre-holmes-suspended-for-ped-violation"
2013,"PEDs","G. Miller","CHI",4,NA,"http://www.nfl.com/news/story/0ap1000000209177/article/chicago-bears-gabe-miller-evan-rodriguez-apologize"
2013,"PEDs","K. Winslow","NYJ",4,NA,"http://www.nfl.com/news/story/0ap2000000260647/article/kellen-winslow-suspended-4-games-for-ped-violation"
2013,"PEDs","T. Zbikowski","FREE",4,NA,"http://espn.go.com/nfl/story/_/id/9660103/nfl-suspends-free-agents-tom-zbikowski-brandon-mcdonald"
2013,"Substance abuse","C. Thompson","BAL",4,NA,"http://www.nfl.com/news/story/0ap1000000156390/article/christian-thompson-suspended-by-nfl-for-substance-abuse"
2013,"Substance abuse","B. Collins","MIA",4,NA,"http://www.nfl.com/news/story/0ap1000000214394/article/brandon-collins-banned-for-violating-substance-policy"
2013,"Substance abuse","R. Jackson","WAS",4,NA,"http://www.nfl.com/news/story/0ap1000000152373/article/washington-redskins-lb-rob-jackson-suspended-four-games"
2013,"Substance abuse","V. Taua","SEA",4,NA,"http://seattletimes.com/html/seahawks/2022327022_seahawks25xml.html"
2013,"Substance abuse","W. Hill","NYG",4,"Marijuana-related","http://espn.go.com/new-york/nfl/story/_/id/11007693/will-hill-new-york-giants-suspended-six-games-violating-nfl-substance-abuse-policy"
2013,"Substance abuse","B. Reed","PIT",4,NA,"http://www.behindthesteelcurtain.com/2013/7/19/4537156/former-steelers-receiver-bert-reed-suspended-four-games"
2013,"Substance abuse","W. Thurmond","SEA",4,NA,"http://www.nfl.com/news/story/0ap2000000286330/article/walter-thurmond-to-drop-appeal-of-4game-suspension"
2013,"Substance abuse","L. Brazill","IND",4,NA,"http://www.nfl.com/news/story/0ap1000000214428/article/lavon-brazill-suspended-for-violating-substance-policy"
2013,"Substance abuse","I. Pead","STL",1,"Marijuana-related","http://www.nfl.com/news/story/0ap1000000208343/article/isaiah-pead-suspended-for-substance-abuse-violation"
2013,"Substance abuse","J. Blackmon","JAX",4,NA,"http://thebiglead.com/2013/04/30/justin-blackmon-of-the-jaguars-suspended-for-4-games-for-violating-league-policy-on-substance-abuse/"
2013,"Substance abuse","J. James","ARI",4,NA,"http://profootballtalk.nbcsports.com/2013/02/13/javarris-james-suspended-four-games/"
2013,"Substance abuse","V. Miller","DEN",4,"Marijuana-related","http://www.denverpost.com/ci_23711440/broncos-star-von-miller-suspended-four-games-by"
2013,"Substance abuse","J. Gordon","CLE",2,NA,"http://www.nfl.com/news/story/0ap1000000210218/article/josh-gordon-suspended-two-cleveland-browns-games"
2013,"Personal conduct","D. Dobbs","SF",1,"DUI arrest, possession of marijuana","http://espn.go.com/nfl/trainingcamp13/story/_/id/9568430/demarcus-dobbs-san-francisco-49ers-suspended-week-1"
2013,"Personal conduct","M. Goodson","NYJ",4,"Arrest, possession of weapon and marijuana","http://espn.go.com/new-york/nfl/story/_/id/9603404/mike-goodson-new-york-jets-suspended-4-games"
2013,"Personal conduct","B. McDonald","FREE",2,NA,"http://www.usatoday.com/story/sports/nfl/2013/09/10/nfl-suspends-tom-zbikowski-brandon-mcdonald/2795979/"
2013,"Personal conduct","J. Felton","CAR",3,"Reckless driving","http://www.nfl.com/news/story/0ap1000000234517/article/minnesota-vikings-jerome-felton-suspended-3-games"
2013,"Personal conduct","C. Haggans","WAS",3,"DUI arrest","http://www.mercurynews.com/49ers/ci_21575932/san-francisco-49ers-linebacker-clark-haggans-suspended?source=rss_viewed"
2013,"Personal conduct","L. Hill","SEA",2,"Domestic violence","http://www.nfl.com/news/story/0ap1000000132752/article/seattle-seahawks-leroy-hill-arrested-on-assault-charges"
2013,"In-game violence","D. Goldson","DEN",1,"Head-butt","http://www.nfl.com/news/story/0ap2000000284209/article/bucs-dashon-goldson-has-onegame-suspension-upheld"
2013,"In-game violence","M. Griffin","TEN",1,"Illegal hit","http://www.nfl.com/news/story/0ap2000000287948/article/titans-michael-griffin-suspended-1-game-for-illegal-hit"
2013,"In-game violence","A. Smith","HOU",3,"Ripping off opponent's helmet","http://www.nfl.com/news/story/0ap1000000233139/article/houston-texans-de-antonio-smiths-suspension-appeal-denied"
2013,"In-game violence","B. Meriweather","WAS",1,"Helmet-to-helmet hit","http://www.nfl.com/news/story/0ap2000000268595/article/brandon-meriweathers-suspension-reduced-to-1-game"
2013,"In-game violence","E. Walden","IND",1,"Head-butt","http://www.nfl.com/news/story/0ap2000000284117/article/erik-walden-has-onegame-ban-for-headbutt-upheld"
2014,"PEDs","J. Knott","PHI",4,NA,"http://www.nfl.com/news/story/0ap2000000339592/article/jake-knott-suspended-for-violating-substance-abuse-policy"
2014,"PEDs","S. Nealy","MIN",4,NA,"http://espn.go.com/nfl/story/_/id/11204290/spencer-nealy-minnesota-vikings-suspended-four-games-ped-use"
2014,"PEDs","S. Bailey","STL",4,NA,"http://www.nfl.com/news/story/0ap2000000349785/article/st-louis-rams-stedman-bailey-suspended-four-games"
2014,"PEDs","A. Pettis","STL",4,NA,"http://www.foxsports.com/nfl/story/St-Louis-Rams-wide-receiver-Austin-Pettis-suspended-four-games-for-NFL-drug-policy-violation-122111?gt1=39002"
2014,"PEDs","O. Scandrick","DAL",4,"MDMA","http://espn.go.com/dallas/nfl/story/_/id/11341354/orlando-scandrick-dallas-cowboys-suspended-four-games-performance-enhancing-drugs"
2014,"PEDs","G. Brown","WAS",4,NA,"http://www.nfl.com/news/story/0ap2000000051195/article/garrett-brown-of-san-diego-chargers-suspended-four-games"
2014,"PEDs","B. Williams","CIN",4,NA,"http://www.foxsports.com/nfl/story/Cincinnati-Bengals-Bobbie-Williams-suspension-substance-abuse-policy-090311?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxsports%2FRSS%2FNFL+(FOXSports.com+News+for+NFL)"
2014,"PEDs","D. Jordan","MIA",4,NA,"http://www.nfl.com/news/story/0ap2000000363402/article/dion-jordan-suspended-four-games-for-ped-violation"
2014,"PEDs","W. Welker","DEN",4,NA,"http://www.usatoday.com/story/sports/nfl/broncos/2014/09/02/wes-welker-suspended-four-games-amphetamine-denver/14992795/"
2014,"PEDs","L. Johnson","PHI",4,NA,"http://www.nfl.com/news/story/0ap2000000367649/article/eagles-lane-johnson-suspended-four-games-for-peds"
2014,"PEDs","R. Mathis","IND",4,NA,"http://www.nfl.com/news/story/0ap2000000350988/article/colts-robert-mathis-suspended-four-games-for-ped"
2014,"Substance abuse","A. Sanders","JAX",4,NA,"http://espn.go.com/nfl/story/_/id/11249916/ace-sanders-jacksonville-jaguars-takes-leave-suspension-looming"
2014,"Substance abuse","N. Bradham","BUF",1,"Marijuana-related","http://www.nfl.com/news/story/0ap2000000371523/article/bills-lb-nigel-bradham-suspended-for-opening-game"
2014,"Substance abuse","M. Prater","DEN",4,"Alcohol-related","http://www.nfl.com/news/story/0ap3000000383065/article/broncos-matt-prater-will-be-suspended-four-games"
2014,"Substance abuse","F. Alexander","HOU",4,NA,"http://espn.go.com/nfl/story/_/id/10873670/de-frank-alexander-carolina-panthers-suspended-four-games-violating-nfl-substance-abuse-policy"
2014,"Substance abuse","B. Moore","WAS",4,NA,"http://www.cbssports.com/nfl/eye-on-football/24519089/redskins-de-brandon-moore-suspended-4-games"
2014,"Substance abuse","R. Watkins","KC",4,NA,"http://espn.go.com/nfl/story/_/id/11173854/rokevious-watkins-kansas-city-chiefs-suspended-four-games-violating-nfl-substance-abuse-policy"
2014,"Substance abuse","J. Hosley","TEN",4,NA,"http://www.nfl.com/news/story/0ap2000000355977/article/giants-jayron-hosley-suspended-for-four-games"
2014,"Personal conduct","R. Rice","BAL",0,"Domestic violence","http://espn.go.com/new-york/nfl/story/_/id/11489134/baltimore-ravens-cut-ray-rice-new-video-surfaces"
2014,"Personal conduct","C. Benson","DEN",3,"Misdemeanour assault","http://www.foxsports.com/nfl/story/Cincinnati-Bengals-RB-Cedric-Benson-suspended-three-games-092211"
2014,"Personal conduct","J. Brent","DAL",10,"DUI manslaughter","http://www.nfl.com/news/story/0ap3000000388413/article/dallas-cowboys-josh-brent-suspended-10-weeks"
2014,"Personal conduct","C. Benson","PIT",1,"Misdemeanour assault","http://espn.go.com/nfl/story/_/id/7119178/suspension-cincinnati-bengals-cedric-benson-reduced-1-game-3"
2014,"In-game violence",NA,NA,0,NA,NA
NA,"PEDs",NA,NA,0,NA,NA
NA,"Substance abuse",NA,NA,0,NA,NA
NA,"Personal conduct","P. Hornung","GB",14,"Gambling-related","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
NA,"In-game violence",NA,NA,0,NA,NA
